accession	sample_title	breed	scientific_name	sex	center_name
SAMN05216063	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216064	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216065	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216066	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216067	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216068	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216069	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216070	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216071	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216072	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216073	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216074	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216075	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216076	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216077	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216078	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216079	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216080	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216081	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216082	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216083	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216084	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216085	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216086	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216087	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216088	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216089	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216090	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216091	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216092	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216093	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216094	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216095	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216096	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216097	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216098	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216099	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216100	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216101	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216102	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216103	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05216104	Model organism or animal sample from Bos taurus		Bos taurus	male	"USDA, ARS, USMARC"
SAMN05862018	Bo_587		Bos indicus		Seoul National University
SAMN05929796	Model organism or animal sample from Bos taurus		Bos taurus	male	China Agricultural University
SAMN06282407	HOLPOL3	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282408	HOLPOL4	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282415	HOLPOL11	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282416	HOLPOL12	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282417	HOLPOL13	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282418	HOLPOL14	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282419	HOLPOL15	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282420	HOLPOL16	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282421	HOLPOL17	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282422	HOLPOL18	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282423	HOLPOL19	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282424	HOLPOL20	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282425	HOLPOL21	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282426	HOLPOL22	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282427	HOLPOL23	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282428	HOLPOL24	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282429	HOLPOL25	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282430	HOLPOL26	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282431	HOLPOL27	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
SAMN06282432	HOLPOL28	Holstein x Friesian	Bos taurus	female	Wroclaw University of Environmental and Life Sciences
