pop1	pop2	pop3	est	se	z	p	n
Ankole	CX1138	Ogaden	0.0169131477662528	0.00231377879451167	7.30975139299017	2.67637090552409e-13	289632
Ankole	CX1138	Piedmontese	0.244715376891033	0.00542852318378273	45.0795490055381	0	289820
Ankole	CX1138	Piemontese	0.248167113955197	0.00550824738518208	45.0537342645139	0	289639
Ankole	CX1138	Red_Angus	0.246354223627279	0.00553482828223646	44.509822358524	0	289872
Ankole	CX1138	Romagnola	0.213458328447611	0.00478213221822326	44.6366429673746	0	289767
Ankole	CX1138	Salers	0.254822259445549	0.00586734141800365	43.4306172576969	0	281770
Ankole	CX1138	Scottish_Highland	0.247900028884071	0.00567706060733172	43.6669688824384	0	289703
Ankole	CX1138	Shorthorn	0.246171389920399	0.00599939799607521	41.0326819593305	0	288072
Ankole	CX1138	Simmental	0.27791266796978	0.00549529220407387	50.5728644900362	0	289939
Ankole	CX1138	Simmental_x_Holstein	0.261373808098215	0.0057614493717472	45.3659819315485	0	288631
Ankole	CX1138	Tibetan	0.158506618196116	0.00465587408800727	34.0444383159764	4.90573299540325e-254	287453
Ankole	CX1138	Tuxer	0.256586902642285	0.00583869172965128	43.9459581911528	0	288977
Ankole	CX1138	Tyrolean_Grey	0.250614666339503	0.0054250906500567	46.1954799477653	0	289932
Ankole	CX1138	Vechur	0.00433906694006498	0.00361331297338568	1.2008555505778	0.229807239007773	286643
Ankole	CX1138	Western_Fincattle	0.239429929945923	0.00542356518947376	44.1462251455218	0	289486
Ankole	CX1138	Yakutian_cattle	0.199994600349672	0.00512083796750049	39.055053414879	0	289518
Ankole	CX1138	Zebu	0.00384948689215692	0.00245883469070182	1.56557368688261	0.117448454122957	289659
Ankole	CX113E	Angus	0.261559553186103	0.00754362074871251	34.6729457774961	2.01519076093692e-263	19888
Ankole	CX113E	Aosta_Red_Pied	0.271539916677306	0.00814483620788565	33.3389045214203	1.0549424305221e-243	19868
Ankole	CX113E	Australian_Lowline	0.260734562009859	0.00870586299901659	29.9493068107449	4.49229982200562e-197	19788
Ankole	CX113E	Belgium_Blue	0.260915904369353	0.00859097268402814	30.370938654529	1.32959270030894e-202	19808
Ankole	CX113E	Belted_Galloway	0.254437630451979	0.00910308905945499	27.9506911104759	6.46601497770995e-172	19586
Ankole	CX113E	Blonde_d'Aquitaine	0.249683542706629	0.00910922339127511	27.4099703105073	2.08606462869355e-165	19414
Ankole	CX113E	Braunvieh	0.247034935413514	0.00728344495693111	33.9173202892718	3.70080764768185e-252	19891
Ankole	CX113E	Brown_Swiss	0.249410004047797	0.00731666489276807	34.0879359247844	1.11330400420075e-254	19888
Ankole	CX113E	CX1138	0.378516123768813	0.0154053408633799	24.5704478158342	2.61530058886921e-133	7251
Ankole	CX113E	CX113F	0.175075540805345	0.127523585015359	1.37288753907176	0.169787310988143	64
Ankole	CX113E	Charolais	0.249999969015683	0.00714595077783891	34.9848434152366	3.82534584887735e-268	19891
Ankole	CX113E	Chianina	0.21204477718995	0.00760081382660893	27.8976412298936	2.84978492356816e-171	19867
Ankole	CX113E	Devon	0.269046835693254	0.00855829055295772	31.4369831251257	6.3232006246768e-217	19746
Ankole	CX113E	Eastern_Finncattle	0.24861003723992	0.00733945233636427	33.8731046740571	1.65858673866609e-251	19876
Ankole	CX113E	Eringer	0.250249488642495	0.00767703333778165	32.5971605999052	4.49934411715082e-233	19875
Ankole	CX113E	Evolene	0.24638203535691	0.00774458064394457	31.813476634084	4.21468942840913e-222	19862
Ankole	CX113E	Fleckvieh	0.247040595696554	0.00741895624347928	33.298564863984	4.05017904829302e-243	19884
