accession	breed	scientific_name
SAMEA2065740	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065738	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065735	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065744	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA2065938	Bos taurus x Bos indicus	Bos taurus x Bos indicus;Bos indicus x Bos taurus
SAMEA4644734	Braunvieh	Bos taurus
SAMEA4644764	Braunvieh	Bos taurus
SAMEA5714974	Braunvieh	Bos taurus
SAMEA5159886	Braunvieh	Bos taurus
SAMEA4644749	Braunvieh	Bos taurus
SAMEA4644750	Braunvieh	Bos taurus
SAMEA4644768	Braunvieh	Bos taurus
SAMEA4644741	Braunvieh	Bos taurus
SAMEA5059742	Braunvieh	Bos taurus
SAMEA4644740	Braunvieh	Bos taurus
SAMEA5159849	Braunvieh	Bos taurus
SAMEA5059750	Braunvieh	Bos taurus
SAMEA5059751	Braunvieh	Bos taurus
SAMEA5059759	Braunvieh	Bos taurus
SAMEA5159850	Braunvieh	Bos taurus
SAMEA5059743	Braunvieh	Bos taurus
SAMEA5059754	Braunvieh	Bos taurus
SAMEA5059752	Braunvieh	Bos taurus
SAMEA5059745	Braunvieh	Bos taurus
SAMEA5059757	Braunvieh	Bos taurus
SAMEA5059746	Braunvieh	Bos taurus
SAMEA5059756	Braunvieh	Bos taurus
SAMEA5059744	Braunvieh	Bos taurus
SAMEA5059755	Braunvieh	Bos taurus
SAMEA5059753	Braunvieh	Bos taurus
SAMEA5159848	Braunvieh	Bos taurus
SAMEA4644730	Braunvieh	Bos taurus
SAMEA5159837	Braunvieh	Bos taurus
SAMEA5159843	Braunvieh	Bos taurus
SAMEA5714972	Braunvieh	Bos taurus
SAMEA5714975	Braunvieh	Bos taurus
SAMEA4827645	Braunvieh	Bos taurus
SAMEA5059741	Braunvieh	Bos taurus
SAMEA5059747	Braunvieh	Bos taurus
SAMEA5059748	Braunvieh	Bos taurus
SAMEA5059749	Braunvieh	Bos taurus
SAMEA5059758	Braunvieh	Bos taurus
SAMEA4827646	Braunvieh	Bos taurus
SAMEA4827647	Braunvieh	Bos taurus
SAMEA4827648	Braunvieh	Bos taurus
SAMEA4827649	Braunvieh	Bos taurus
SAMEA4827650	Braunvieh	Bos taurus
SAMEA4827651	Braunvieh	Bos taurus
SAMEA4827652	Braunvieh	Bos taurus
SAMEA4827653	Braunvieh	Bos taurus
SAMEA4827654	Braunvieh	Bos taurus
SAMEA4827655	Braunvieh	Bos taurus
SAMEA4827656	Braunvieh	Bos taurus
SAMEA4827657	Braunvieh	Bos taurus
SAMEA4827658	Braunvieh	Bos taurus
SAMEA4827659	Braunvieh	Bos taurus
SAMEA4827660	Braunvieh	Bos taurus
SAMEA4827661	Braunvieh	Bos taurus
